 Prayer Times Schedule 2003
Location: Taif, SAUDI ARABIA
Juristic Method: Standard, Timezone: GMT +3.0
Calculation Method: Umm Al-Qura 
January  
Date Fajr Sunrise Dhuhr Asr Maghrib Isha 
29 4:10 5:38 12:19 3:33 6:58 8:28 
30 4:10 5:38 12:19 3:34 6:59 8:29 
31 4:10 5:38 12:19 3:34 6:59 8:29 
June  
Date Fajr Sunrise Dhuhr Asr Maghrib Isha 
1 4:09 5:38 12:19 3:35 6:59 8:29 
2 4:09 5:37 12:19 3:36 7:00 8:30 
3 4:09 5:37 12:19 3:36 7:00 8:30 
4 4:09 5:37 12:19 3:37 7:01 8:31 
5 4:08 5:37 12:20 3:37 7:01 8:31 
6 4:08 5:37 12:20 3:38 7:01 8:31 
7 4:08 5:37 12:20 3:38 7:02 8:32 
8 4:08 5:37 12:20 3:38 7:02 8:32 
9 4:08 5:37 12:20 3:39 7:03 8:33 
10 4:08 5:37 12:21 3:39 7:03 8:33 
11 4:08 5:37 12:21 3:40 7:03 8:33 
12 4:08 5:37 12:21 3:40 7:04 8:34 
13 4:08 5:37 12:21 3:40 7:04 8:34 
14 4:08 5:38 12:21 3:41 7:04 8:34 
15 4:08 5:38 12:22 3:41 7:04 8:34 
16 4:08 5:38 12:22 3:41 7:05 8:35 
17 4:08 5:38 12:22 3:42 7:05 8:35 
18 4:08 5:38 12:22 3:42 7:05 8:35 
19 4:09 5:38 12:22 3:42 7:06 8:36 
20 4:09 5:38 12:23 3:42 7:06 8:36 
21 4:09 5:39 12:23 3:43 7:06 8:36 
22 4:09 5:39 12:23 3:43 7:06 8:36 
23 4:10 5:39 12:23 3:43 7:06 8:36 
24 4:10 5:39 12:23 3:43 7:07 8:37 
25 4:10 5:40 12:24 3:43 7:07 8:37 
26 4:10 5:40 12:24 3:44 7:07 8:37 
27 4:11 5:40 12:24 3:44 7:07 8:37 
28 4:11 5:40 12:24 3:44 7:07 8:37 
29 4:11 5:41 12:25 3:44 7:07 8:37 
30 4:12 5:41 12:25 3:44 7:07 8:37 
July 
Date Fajr Sunrise Dhuhr Asr Maghrib Isha 
1 4:12 5:41 12:25 3:44 7:07 8:37 
2 4:13 5:42 12:25 3:44 7:08 8:38 
3 4:13 5:42 12:25 3:44 7:08 8:38 
4 4:13 5:42 12:26 3:44 7:08 8:38 
5 4:14 5:43 12:26 3:44 7:08 8:38 
6 4:14 5:43 12:26 3:44 7:08 8:38 
7 4:15 5:43 12:26 3:43 7:08 8:38 
8 4:15 5:44 12:26 3:43 7:08 8:38 
9 4:16 5:44 12:26 3:43 7:07 8:37 
10 4:16 5:45 12:26 3:43 7:07 8:37 
11 4:17 5:45 12:27 3:43 7:07 8:37 
12 4:17 5:45 12:27 3:42 7:07 8:37 
13 4:18 5:46 12:27 3:42 7:07 8:37 
14 4:18 5:46 12:27 3:42 7:07 8:37 
15 4:19 5:46 12:27 3:41 7:07 8:37 
16 4:20 5:47 12:27 3:42 7:06 8:36 
17 4:20 5:47 12:27 3:42 7:06 8:36 
18 4:21 5:48 12:27 3:42 7:06 8:36 
19 4:21 5:48 12:27 3:43 7:06 8:36 
20 4:22 5:48 12:28 3:43 7:05 8:35 
21 4:22 5:49 12:28 3:43 7:05 8:35 
22 4:23 5:49 12:28 3:43 7:05 8:35 
23 4:24 5:50 12:28 3:44 7:04 8:34 
24 4:24 5:50 12:28 3:44 7:04 8:34 
25 4:25 5:50 12:28 3:44 7:04 8:34 
26 4:25 5:51 12:28 3:45 7:03 8:33 
27 4:26 5:51 12:28 3:45 7:03 8:33 
28 4:27 5:52 12:28 3:45 7:03 8:33 
29 4:27 5:52 12:28 3:45 7:03 8:33 
30 4:28 5:52 12:28 3:46 7:02 8:32 
31 4:28 5:53 12:28 3:46 7:01 8:31 
August  
Date Fajr Sunrise Dhuhr Asr Maghrib Isha 
1 4:29 5:53 12:28 3:46 7:01 8:31 
2 4:30 5:54 12:27 3:46 7:00 8:30 
3 4:30 5:54 12:27 3:47 7:00 8:30 
4 4:31 5:54 12:27 3:47 6:59 8:29 
5 4:31 5:55 12:27 3:47 6:58 8:28 
6 4:32 5:55 12:27 3:47 6:58 8:28 
7 4:32 5:56 12:27 3:47 6:57 8:27 
8 4:33 5:56 12:27 3:47 6:57 8:27 
9 4:33 5:56 12:27 3:47 6:57 8:27 
10 4:34 5:57 12:27 3:48 6:55 8:25 
11 4:35 5:57 12:26 3:48 6:55 8:25 
12 4:35 5:57 12:26 3:48 6:54 8:24 
13 4:36 5:58 12:26 3:48 6:53 8:23 
14 4:36 5:58 12:26 3:48 6:53 8:23 
15 4:37 5:58 12:26 3:48 6:52 8:22 
16 4:37 5:59 12:26 3:48 6:51 8:21 
17 4:38 5:59 12:25 3:48 6:50 8:20 
18 4:38 5:59 12:25 3:48 6:50 8:20 
19 4:39 6:00 12:25 3:48 6:49 8:19 
20 4:39 6:00 12:25 3:48 6:49 8:19 
21 4:40 6:00 12:24 3:48 6:47 8:17 
22 4:40 6:01 12:24 3:48 6:47 8:17 
23 4:41 6:01 12:24 3:48 6:46 8:16 
24 4:41 6:01 12:24 3:47 6:45 8:15 
25 4:42 6:01 12:23 3:47 6:44 8:14 
26 4:42 6:02 12:23 3:47 6:43 8:13 
27 4:42 6:02 12:23 3:47 6:42 8:12 
28 4:43 6:02 12:23 3:47 6:41 8:11 
29 4:43 6:03 12:22 3:47 6:41 8:11 
30 4:44 6:03 12:22 3:47 6:40 8:10 
31 4:44 6:03 12:22 3:47 6:40 8:10 
September  
Date Fajr Sunrise Dhuhr Asr Maghrib Isha 
1 4:45 6:03 12:21 3:46 6:38 8:08 
2 4:45 6:04 12:21 3:46 6:37 8:07 
3 4:45 6:04 12:21 3:46 6:36 8:06 
4 4:46 6:04 12:20 3:45 6:35 8:05 
5 4:46 6:04 12:20 3:45 6:34 8:04 
6 4:47 6:05 12:20 3:45 6:33 8:03 
7 4:47 6:05 12:19 3:45 6:32 8:02 
8 4:47 6:05 12:19 3:44 6:31 8:01 
9 4:48 6:06 12:19 3:44 6:31 8:01 
10 4:48 6:06 12:18 3:44 6:30 8:00 
11 4:48 6:06 12:18 3:44 6:30 8:00 
12 4:49 6:06 12:18 3:43 6:28 7:58 
13 4:49 6:07 12:17 3:43 6:27 7:57 
14 4:49 6:07 12:17 3:42 6:26 7:56 
15 4:50 6:07 12:17 3:42 6:25 7:55 
16 4:50 6:07 12:16 3:41 6:24 7:54 
17 4:50 6:08 12:16 3:41 6:23 7:53 
18 4:51 6:08 12:15 3:41 6:22 7:52 
19 4:51 6:08 12:15 3:40 6:21 7:51 
20 4:51 6:08 12:15 3:40 6:20 7:50 
21 4:52 6:09 12:14 3:39 6:19 7:49 
22 4:52 6:09 12:14 3:39 6:18 7:48 
23 4:52 6:09 12:14 3:38 6:17 7:47 
24 4:52 6:09 12:13 3:38 6:16 7:46 
25 4:53 6:10 12:13 3:38 6:15 7:45 
26 4:53 6:10 12:13 3:37 6:14 7:44 
27 4:53 6:10 12:12 3:37 6:13 7:43 
28 4:54 6:10 12:12 3:36 6:12 7:42 
29 4:54 6:11 12:12 3:36 6:11 7:41 
30 4:54 6:11 12:11 3:35 6:10 7:40 
October 
Date Fajr Sunrise Dhuhr Asr Maghrib Isha 
1 4:54 6:11 12:11 3:35 6:10 7:40 
2 4:55 6:12 12:11 3:34 6:09 7:39 
3 4:55 6:12 12:10 3:34 6:08 7:38 
4 4:55 6:12 12:10 3:33 6:07 7:37 
5 4:56 6:12 12:10 3:33 6:06 7:36 
6 4:56 6:13 12:09 3:32 6:05 7:35 
7 4:56 6:13 12:09 3:32 6:04 7:34 
8 4:57 6:13 12:09 3:31 6:03 7:33 
9 4:57 6:14 12:09 3:31 6:02 7:32 
10 4:57 6:14 12:08 3:30 6:01 7:31 
11 4:57 6:14 12:08 3:30 6:01 7:31 
12 4:58 6:15 12:08 3:29 6:00 7:30 
13 4:58 6:15 12:08 3:29 5:59 7:29 
14 4:58 6:15 12:07 3:28 5:58 7:28 
15 4:59 6:16 12:07 3:28 5:57 7:27 
16 4:59 6:16 12:07 3:27 5:56 7:26 
17 4:59 6:16 12:07 3:27 5:56 7:26 
18 5:00 6:17 12:06 3:26 5:55 7:25 
19 5:00 6:17 12:06 3:26 5:54 7:24 
20 5:00 6:18 12:06 3:25 5:53 7:23 
21 5:01 6:18 12:06 3:25 5:53 7:23 
22 5:01 6:18 12:06 3:24 5:52 7:22 
23 5:01 6:19 12:06 3:24 5:51 7:21 
24 5:02 6:19 12:05 3:23 5:50 7:20 
25 5:02 6:20 12:05 3:23 5:50 7:20 
26 5:02 6:20 12:05 3:23 5:49 7:19 
27 5:03 6:21 12:05 3:22 5:48 7:48 
28 5:03 6:21 12:05 3:22 5:48 7:48 
29 5:03 6:22 12:05 3:21 5:47 7:47 
30 5:04 6:22 12:05 3:21 5:47 7:47 
31 5:04 6:23 12:05 3:21 5:46 7:46 
November  
Date Fajr Sunrise Dhuhr Asr Maghrib Isha 
1 5:05 6:23 12:05 3:20 5:45 7:45 
2 5:05 6:24 12:05 3:20 5:45 7:45 
3 5:05 6:24 12:05 3:19 5:44 7:44 
4 5:06 6:25 12:05 3:19 5:44 7:44 
5 5:06 6:25 12:05 3:19 5:43 7:43 
6 5:07 6:26 12:05 3:19 5:43 7:43 
7 5:07 6:26 12:05 3:18 5:42 7:42 
8 5:08 6:27 12:05 3:18 5:42 7:42 
9 5:08 6:27 12:05 3:18 5:42 7:42 
10 5:08 6:28 12:05 3:17 5:41 7:41 
11 5:09 6:28 12:05 3:17 5:41 7:41 
12 5:09 6:29 12:05 3:17 5:40 7:40 
13 5:10 6:30 12:05 3:17 5:40 7:40 
14 5:10 6:30 12:06 3:17 5:40 7:40 
15 5:11 6:31 12:06 3:16 5:39 7:39 
16 5:11 6:31 12:06 3:16 5:39 7:39 
17 5:12 6:32 12:06 3:16 5:39 7:39 
18 5:12 6:33 12:06 3:16 5:39 7:39 
19 5:13 6:33 12:06 3:16 5:38 7:38 
20 5:13 6:33 12:06 3:16 5:38 7:38 
21 5:14 6:35 12:07 3:16 5:38 7:38 
22 5:14 6:35 12:07 3:16 5:38 7:38 
23 5:15 6:36 12:07 3:16 5:38 7:38 
24 5:15 6:36 12:08 3:16 5:38 7:38 
25 5:16 6:37 12:08 3:16 5:38 7:08 
26 5:17 6:38 12:08 3:16 5:38 7:08 
27 5:17 6:38 12:09 3:16 5:38 7:08 
28 5:18 6:39 12:09 3:16 5:38 7:08 
29 5:18 6:40 12:09 3:16 5:38 7:08 
30 5:19 6:40 12:10 3:16 5:38 7:08 
December 
Date Fajr Sunrise Dhuhr Asr Maghrib Isha 
1 5:19 6:40 12:10 3:16 5:38 7:08 
2 5:20 6:42 12:10 3:17 5:38 7:08 
3 5:20 6:42 12:11 3:17 5:38 7:08 
4 5:21 6:43 12:11 3:17 5:38 7:08 
5 5:22 6:44 12:12 3:17 5:38 7:08 
6 5:22 6:44 12:12 3:17 5:39 7:09 
7 5:23 6:45 12:12 3:18 5:39 7:09 
8 5:23 6:46 12:13 3:18 5:39 7:09 
9 5:24 6:46 12:13 3:18 5:39 7:09 
10 5:24 6:47 12:14 3:19 5:40 7:10 
11 5:25 6:47 12:14 3:19 5:40 7:10 
12 5:25 6:47 12:14 3:19 5:40 7:10 
13 5:26 6:49 12:15 3:20 5:41 7:11 
14 5:27 6:49 12:16 3:20 5:41 7:11 
15 5:27 6:50 12:16 3:20 5:41 7:11 
16 5:28 6:50 12:17 3:21 5:42 7:12 
17 5:28 6:51 12:17 3:21 5:42 7:12 
18 5:29 6:52 12:18 3:22 5:43 7:13 
19 5:29 6:52 12:18 3:22 5:43 7:13 
20 5:30 6:53 12:19 3:23 5:43 7:13 
21 5:30 6:53 12:19 3:23 5:44 7:14 
22 5:31 6:54 12:20 3:24 5:44 7:14 
23 5:31 6:54 12:20 3:24 5:44 7:14 
24 5:32 6:55 12:21 3:25 5:45 7:15 
25 5:32 6:55 12:21 3:25 5:46 7:16 
26 5:33 6:56 12:22 3:26 5:47 7:17 
27 5:33 6:56 12:22 3:26 5:47 7:17 
28 5:34 6:56 12:23 3:27 5:48 7:18 
29 5:34 6:57 12:23 3:27 5:48 7:18 
30 5:34 6:57 12:23 3:28 5:49 7:19 
31 5:35 6:58 12:24 3:29 5:49 7:19 
Prayer Times Schedule 2003
Location: Dammam, SAUDI ARABIA
Juristic Method: Standard, Timezone: GMT +3.0
Calculation Method: Umm Al-Qura 
January  
Date Fajr Sunrise Dhuhr Asr Maghrib Isha 
1 5:01 6:27 11:43 2:40 4:59 6:29 
2 5:01 6:27 11:44 2:40 5:00 6:30 
3 5:02 6:28 11:44 2:41 5:00 6:30 
4 5:02 6:28 11:45 2:42 5:01 6:31 
5 5:02 6:28 11:45 2:42 5:02 6:32 
6 5:02 6:28 11:46 2:43 5:02 6:32 
7 5:03 6:28 11:46 2:44 5:03 6:33 
8 5:03 6:29 11:47 2:44 5:04 6:34 
9 5:03 6:29 11:47 2:45 5:05 6:35 
10 5:03 6:29 11:47 2:46 5:05 6:35 
11 5:03 6:29 11:48 2:46 5:06 6:36 
12 5:03 6:29 11:48 2:47 5:07 6:37 
13 5:04 6:29 11:49 2:48 5:08 6:38 
14 5:04 6:29 11:49 2:48 5:08 6:38 
15 5:04 6:29 11:49 2:49 5:09 6:39 
16 5:04 6:29 11:50 2:50 5:10 6:40 
17 5:04 6:29 11:50 2:51 5:11 6:41 
18 5:04 6:28 11:50 2:51 5:12 6:42 
19 5:04 6:28 11:51 2:52 5:12 6:42 
20 5:04 6:28 11:51 2:53 5:13 6:43 
21 5:03 6:28 11:51 2:53 5:14 6:44 
22 5:03 6:28 11:52 2:54 5:15 6:45 
23 5:03 6:27 11:52 2:55 5:15 6:45 
24 5:03 6:27 11:52 2:55 5:16 6:46 
25 5:03 6:27 11:52 2:56 5:17 6:47 
26 5:03 6:27 11:53 2:57 5:18 6:48 
27 5:02 6:26 11:53 2:57 5:19 6:49 
28 5:02 6:26 11:53 2:58 5:19 6:49 
29 5:02 6:25 11:53 2:59 5:20 6:50 
30 5:02 6:25 11:53 2:59 5:21 6:51 
31 5:01 6:25 11:53 3:00 5:22 6:52 
February  
Date Fajr Sunrise Dhuhr Asr Maghrib Isha 
1 5:01 6:24 11:54 3:00 5:22 6:52 
2 5:01 6:24 11:54 3:01 5:23 6:53 
3 5:00 6:23 11:54 3:02 5:24 6:54 
4 5:00 6:23 11:54 3:02 5:25 6:55 
5 4:59 6:22 11:54 3:03 5:25 6:55 
6 4:59 6:22 11:54 3:03 5:26 6:56 
7 4:58 6:21 11:54 3:04 5:27 6:57 
8 4:58 6:20 11:54 3:04 5:28 6:58 
9 4:57 6:20 11:54 3:05 5:28 6:58 
10 4:57 6:19 11:54 3:05 5:29 6:59 
11 4:56 6:18 11:54 3:06 5:30 7:00 
12 4:56 6:18 11:54 3:06 5:30 7:00 
13 4:55 6:17 11:54 3:07 5:31 7:01 
14 4:54 6:16 11:54 3:07 5:32 7:02 
15 4:54 6:15 11:54 3:08 5:32 7:02 
16 4:53 6:15 11:54 3:08 5:33 7:03 
17 4:53 6:15 11:54 3:08 5:33 7:03 
18 4:52 6:13 11:54 3:09 5:34 7:04 
19 4:51 6:12 11:54 3:09 5:35 7:05 
20 4:50 6:12 11:54 3:10 5:36 7:06 
21 4:49 6:11 11:54 3:10 5:36 7:06 
22 4:48 6:10 11:54 3:10 5:37 7:07 
23 4:48 6:09 11:54 3:11 5:38 7:08 
24 4:47 6:08 11:53 3:11 5:38 7:08 
25 4:46 6:07 11:53 3:11 5:39 7:09 
26 4:45 6:06 11:53 3:12 5:39 7:09 
27 4:44 6:05 11:53 3:12 5:40 7:10 
28 4:44 6:05 11:53 3:12 5:40 7:10 
March  
Date Fajr Sunrise Dhuhr Asr Maghrib Isha 
1 4:42 6:03 11:53 3:12 5:41 7:11 
2 4:41 6:02 11:52 3:13 5:42 7:12 
3 4:41 6:01 11:52 3:13 5:42 7:12 
4 4:40 6:01 11:52 3:13 5:43 7:13 
5 4:39 6:00 11:52 3:13 5:43 7:13 
6 4:38 5:59 11:52 3:13 5:44 7:14 
7 4:37 5:58 11:51 3:14 5:44 7:14 
8 4:36 5:57 11:51 3:14 5:45 7:15 
9 4:35 5:55 11:51 3:14 5:45 7:15 
10 4:34 5:54 11:51 3:14 5:46 7:16 
11 4:32 5:53 11:50 3:14 5:47 7:17 
12 4:31 5:52 11:50 3:14 5:47 7:17 
13 4:30 5:51 11:50 3:14 5:48 7:18 
14 4:29 5:50 11:49 3:14 5:48 7:18 
15 4:28 5:49 11:49 3:14 5:49 7:19 
16 4:27 5:48 11:49 3:14 5:49 7:19 
17 4:26 5:47 11:49 3:14 5:50 7:20 
18 4:25 5:46 11:48 3:14 5:50 7:20 
19 4:24 5:45 11:48 3:14 5:51 7:21 
20 4:23 5:44 11:48 3:14 5:51 7:21 
21 4:21 5:43 11:47 3:14 5:52 7:22 
22 4:20 5:42 11:47 3:14 5:52 7:22 
23 4:19 5:41 11:47 3:14 5:53 7:23 
24 4:18 5:40 11:47 3:14 5:53 7:23 
25 4:17 5:38 11:46 3:14 5:53 7:23 
26 4:16 5:37 11:46 3:14 5:54 7:24 
27 4:14 5:36 11:46 3:14 5:54 7:24 
28 4:13 5:35 11:45 3:14 5:55 7:25 
29 4:12 5:34 11:45 3:14 5:55 7:25 
30 4:11 5:33 11:45 3:14 5:56 7:26 
31 4:10 5:32 11:44 3:14 5:56 7:26 
April  
Date Fajr Sunrise Dhuhr Asr Maghrib Isha 
1 4:09 5:31 11:44 3:14 5:57 7:27 
2 4:07 5:30 11:44 3:13 5:57 7:27 
3 4:06 5:29 11:44 3:13 5:58 7:28 
4 4:05 5:28 11:43 3:13 5:58 7:28 
5 4:04 5:27 11:43 3:13 5:59 7:29 
6 4:03 5:26 11:43 3:13 5:59 7:29 
7 4:01 5:24 11:42 3:13 6:00 7:30 
8 4:00 5:23 11:42 3:13 6:00 7:30 
9 3:59 5:22 11:42 3:12 6:01 7:31 
10 3:58 5:21 11:42 3:12 6:01 7:31 
11 3:57 5:20 11:41 3:12 6:02 7:32 
12 3:55 5:19 11:41 3:12 6:02 7:32 
13 3:54 5:18 11:41 3:12 6:03 7:33 
14 3:53 5:17 11:41 3:11 6:03 7:33 
15 3:52 5:16 11:40 3:11 6:04 7:34 
16 3:51 5:15 11:40 3:11 6:04 7:34 
17 3:51 5:15 11:40 3:11 6:04 7:34 
18 3:48 5:13 11:40 3:11 6:05 7:35 
19 3:47 5:12 11:39 3:10 6:06 7:36 
20 3:46 5:12 11:39 3:10 6:06 7:36 
21 3:45 5:11 11:39 3:10 6:07 7:37 
22 3:44 5:10 11:39 3:10 6:07 7:37 
23 3:43 5:09 11:39 3:10 6:08 7:38 
24 3:42 5:08 11:38 3:09 6:08 7:38 
25 3:41 5:07 11:38 3:09 6:09 7:39 
26 3:39 5:06 11:38 3:09 6:09 7:39 
27 3:38 5:05 11:38 3:09 6:10 7:40 
28 3:38 5:05 11:38 3:09 6:10 7:40 
29 3:36 5:04 11:38 3:08 6:11 7:41 
30 3:35 5:03 11:37 3:08 6:11 7:41 
May  
Date Fajr Sunrise Dhuhr Asr Maghrib Isha 
1 3:34 5:02 11:37 3:08 6:12 7:42 
2 3:33 5:01 11:37 3:08 6:12 7:42 
3 3:32 5:00 11:37 3:08 6:13 7:43 
4 3:31 5:00 11:37 3:07 6:14 7:44 
5 3:30 4:59 11:37 3:07 6:14 7:44 
6 3:29 4:58 11:37 3:07 6:15 7:45 
7 3:28 4:58 11:37 3:07 6:15 7:45 
8 3:28 4:57 11:37 3:07 6:16 7:46 
9 3:28 4:57 11:37 3:07 6:16 7:46 
10 3:26 4:56 11:37 3:06 6:17 7:47 
11 3:25 4:55 11:36 3:06 6:17 7:47 
12 3:24 4:54 11:36 3:06 6:18 7:48 
13 3:23 4:54 11:36 3:06 6:18 7:48 
14 3:22 4:53 11:36 3:06 6:19 7:49 
15 3:22 4:53 11:36 3:06 6:20 7:50 
16 3:21 4:52 11:36 3:06 6:20 7:50 
17 3:20 4:52 11:36 3:06 6:21 7:51 
18 3:19 4:51 11:37 3:05 6:21 7:51 
19 3:19 4:51 11:37 3:05 6:22 7:52 
20 3:19 4:51 11:37 3:05 6:22 7:52 
21 3:17 4:50 11:37 3:05 6:23 7:53 
22 3:17 4:49 11:37 3:05 6:23 7:53 
23 3:16 4:49 11:37 3:05 6:24 7:54 
24 3:16 4:49 11:37 3:05 6:24 7:54 
25 3:15 4:48 11:37 3:05 6:25 7:55 
26 3:15 4:48 11:37 3:05 6:25 7:55 
27 3:14 4:48 11:37 3:05 6:26 7:56 
28 3:14 4:47 11:37 3:05 6:27 7:57 
29 3:13 4:47 11:37 3:05 6:27 7:57 
30 3:13 4:47 11:38 3:05 6:28 7:58 
31 3:13 4:47 11:38 3:05 6:28 7:58 
June  
Date Fajr Sunrise Dhuhr Asr Maghrib Isha 
1 3:12 4:46 11:38 3:05 6:28 7:58 
2 3:12 4:46 11:38 3:05 6:29 7:59 
3 3:11 4:46 11:38 3:05 6:29 7:59 
4 3:11 4:46 11:38 3:05 6:30 8:00 
5 3:11 4:46 11:39 3:05 6:30 8:00 
6 3:11 4:46 11:39 3:05 6:31 8:01 
7 3:10 4:46 11:39 3:05 6:31 8:01 
8 3:10 4:46 11:39 3:05 6:32 8:02 
9 3:10 4:46 11:39 3:06 6:32 8:02 
10 3:10 4:46 11:39 3:06 6:32 8:02 
11 3:10 4:46 11:40 3:06 6:33 8:03 
12 3:10 4:46 11:40 3:06 6:33 8:03 
13 3:10 4:46 11:40 3:06 6:34 8:04 
14 3:10 4:46 11:40 3:06 6:34 8:04 
15 3:10 4:46 11:40 3:06 6:34 8:04 
16 3:10 4:46 11:41 3:07 6:34 8:04 
17 3:10 4:46 11:41 3:07 6:35 8:05 
18 3:10 4:46 11:41 3:07 6:35 8:05 
19 3:10 4:46 11:41 3:07 6:35 8:05 
20 3:11 4:47 11:42 3:07 6:36 8:06 
21 3:11 4:47 11:42 3:08 6:36 8:06 
22 3:11 4:47 11:42 3:08 6:36 8:06 
23 3:11 4:47 11:42 3:08 6:36 8:06 
24 3:12 4:47 11:42 3:08 6:36 8:06 
25 3:12 4:48 11:43 3:09 6:37 8:07 
26 3:12 4:48 11:43 3:09 6:37 8:07 
27 3:13 4:48 11:43 3:09 6:37 8:07 
28 3:13 4:49 11:43 3:09 6:37 8:07 
29 3:13 4:49 11:43 3:10 6:37 8:07 
30 3:14 4:49 11:44 3:10 6:37 8:07 
July 
Date Fajr Sunrise Dhuhr Asr Maghrib Isha 
1 3:14 4:50 11:44 3:10 6:37 8:07 
2 3:15 4:50 11:44 3:10 6:37 8:07 
3 3:15 4:50 11:44 3:11 6:37 8:07 
4 3:16 4:51 11:44 3:11 6:37 8:07 
5 3:16 4:51 11:45 3:11 6:37 8:07 
6 3:17 4:51 11:45 3:11 6:37 8:07 
7 3:17 4:52 11:45 3:12 6:37 8:07 
8 3:18 4:52 11:45 3:12 6:37 8:07 
9 3:19 4:53 11:45 3:12 6:37 8:07 
10 3:19 4:53 11:45 3:12 6:36 8:06 
11 3:20 4:54 11:46 3:13 6:36 8:06 
12 3:20 4:54 11:46 3:13 6:36 8:06 
13 3:21 4:55 11:46 3:13 6:36 8:06 
14 3:22 4:55 11:46 3:13 6:36 8:06 
15 3:22 4:55 11:46 3:14 6:35 8:05 
16 3:23 4:56 11:46 3:14 6:35 8:05 
17 3:24 4:56 11:46 3:14 6:35 8:05 
18 3:24 4:57 11:46 3:14 6:34 8:04 
19 3:25 4:57 11:46 3:14 6:34 8:04 
20 3:26 4:58 11:46 3:15 6:34 8:04 
21 3:27 4:58 11:46 3:15 6:33 8:03 
22 3:27 4:59 11:47 3:15 6:33 8:03 
23 3:28 4:59 11:47 3:15 6:32 8:02 
24 3:29 5:00 11:47 3:15 6:32 8:02 
25 3:30 5:00 11:47 3:16 6:32 8:02 
26 3:30 5:01 11:47 3:16 6:31 8:01 
27 3:31 5:01 11:47 3:16 6:31 8:01 
28 3:32 5:02 11:47 3:16 6:30 8:00 
29 3:32 5:02 11:47 3:16 6:30 8:00 
30 3:33 5:03 11:47 3:16 6:29 7:59 
31 3:34 5:03 11:47 3:16 6:28 7:58 
August  
Date Fajr Sunrise Dhuhr Asr Maghrib Isha 
1 3:35 5:04 11:46 3:16 6:28 7:58 
2 3:36 5:05 11:46 3:16 6:27 7:57 
3 3:36 5:05 11:46 3:16 6:26 7:56 
4 3:37 5:06 11:46 3:16 6:26 7:56 
5 3:38 5:06 11:46 3:16 6:25 7:55 
6 3:39 5:07 11:46 3:16 6:24 7:54 
7 3:39 5:07 11:46 3:16 6:24 7:54 
8 3:40 5:08 11:46 3:16 6:23 7:53 
9 3:40 5:08 11:46 3:16 6:23 7:53 
10 3:42 5:09 11:46 3:16 6:21 7:51 
11 3:42 5:09 11:45 3:16 6:20 7:50 
12 3:43 5:09 11:45 3:16 6:20 7:50 
13 3:44 5:10 11:45 3:16 6:19 7:49 
14 3:44 5:10 11:45 3:16 6:18 7:48 
15 3:45 5:11 11:45 3:16 6:17 7:47 
16 3:46 5:11 11:44 3:15 6:16 7:46 
17 3:46 5:12 11:44 3:15 6:15 7:45 
18 3:47 5:12 11:44 3:15 6:14 7:44 
19 3:48 5:13 11:44 3:15 6:13 7:43 
20 3:48 5:13 11:44 3:15 6:13 7:43 
21 3:49 5:14 11:43 3:14 6:12 7:42 
22 3:50 5:14 11:43 3:14 6:11 7:41 
23 3:51 5:15 11:43 3:14 6:10 7:40 
24 3:51 5:15 11:43 3:14 6:09 7:39 
25 3:52 5:16 11:42 3:13 6:08 7:38 
26 3:52 5:16 11:42 3:13 6:07 7:37 
27 3:53 5:16 11:42 3:13 6:06 7:36 
28 3:54 5:17 11:41 3:12 6:05 7:35 
29 3:54 5:17 11:41 3:12 6:04 7:34 
30 3:55 5:18 11:41 3:12 6:03 7:33 
31 3:55 5:18 11:41 3:12 6:03 7:33 
September  
Date Fajr Sunrise Dhuhr Asr Maghrib Isha 
1 3:56 5:19 11:40 3:11 6:01 7:31 
2 3:57 5:19 11:40 3:10 5:59 7:29 
3 3:57 5:19 11:40 3:10 5:58 7:28 
4 3:58 5:20 11:39 3:10 5:57 7:27 
5 3:58 5:20 11:39 3:09 5:56 7:26 
6 3:59 5:21 11:39 3:09 5:55 7:25 
7 4:00 5:21 11:38 3:08 5:54 7:24 
8 4:00 5:22 11:38 3:08 5:53 7:23 
9 4:01 5:22 11:38 3:07 5:52 7:22 
10 4:01 5:22 11:37 3:07 5:51 7:21 
11 4:01 5:22 11:37 3:07 5:51 7:21 
12 4:02 5:23 11:37 3:06 5:49 7:19 
13 4:03 5:24 11:36 3:05 5:47 7:17 
14 4:03 5:24 11:36 3:05 5:46 7:16 
15 4:04 5:24 11:35 3:04 5:45 7:15 
16 4:04 5:25 11:35 3:03 5:44 7:14 
17 4:05 5:25 11:35 3:03 5:43 7:13 
18 4:05 5:26 11:34 3:02 5:42 7:12 
19 4:06 5:26 11:34 3:02 5:41 7:11 
20 4:06 5:27 11:34 3:01 5:40 7:10 
21 4:07 5:27 11:33 3:00 5:38 7:08 
22 4:07 5:27 11:33 3:00 5:37 7:07 
23 4:08 5:28 11:33 2:59 5:36 7:06 
24 4:08 5:28 11:32 2:59 5:35 7:05 
25 4:09 5:29 11:32 2:58 5:34 7:04 
26 4:09 5:29 11:32 2:57 5:33 7:03 
27 4:10 5:29 11:31 2:57 5:32 7:02 
28 4:10 5:30 11:31 2:56 5:31 7:01 
29 4:11 5:30 11:31 2:55 5:29 6:59 
30 4:11 5:31 11:30 2:55 5:28 6:58 
October 
Date Fajr Sunrise Dhuhr Asr Maghrib Isha 
